input lags; input Dimensions; hidden; outputs; net parameters; trainError; validationError; RMSE; MAPE; train time; iterations 
([1, 24], [168, 192]);220;70;121;24061;0.278;0.278;511.558;10.212;8.945;299
([1, 24], [168, 192]);220;70;121;24061;0.272;0.336;468.113;9.472;68.255;509
([1, 24], [168, 192]);220;75;121;25771;0.263;0.333;464.896;9.441;86.352;619
([1, 24], [168, 192]);220;80;121;27481;0.261;0.333;464.959;9.561;91.518;639
([1, 24], [168, 192]);220;85;121;29191;0.250;0.325;458.781;9.383;113.392;759
([1, 24], [168, 192]);220;90;121;30901;0.255;0.319;454.699;9.265;82.614;539
([1, 24], [168, 192]);220;95;121;32611;0.243;0.314;453.483;9.201;120.805;749
([1, 24], [168, 192]);220;100;121;34321;0.239;0.312;450.030;9.155;118.342;719
([1, 24], [168, 192]);220;105;121;36031;0.237;0.303;445.915;9.074;120.218;719
([1, 24], [168, 192]);220;110;121;37741;0.231;0.301;440.617;8.942;131.513;749
([1, 24], [168, 192]);220;115;121;39451;0.233;0.310;445.100;9.043;129.015;689
([1, 24], [168, 192]);220;120;121;41161;0.232;0.301;442.007;8.955;112.843;619
([1, 24], [168, 192]);220;125;121;42871;0.228;0.302;444.156;9.046;137.420;699
([1, 48], [168, 192]);244;70;121;25741;0.258;0.327;459.536;9.447;72.142;529
([1, 48], [168, 192]);244;75;121;27571;0.242;0.319;455.923;9.440;107.890;769
([1, 48], [168, 192]);244;80;121;29401;0.244;0.318;453.140;9.303;84.767;579
([1, 48], [168, 192]);244;85;121;31231;0.240;0.314;450.748;9.182;92.014;599
([1, 48], [168, 192]);244;90;121;33061;0.234;0.311;445.472;9.092;95.197;599
([1, 48], [168, 192]);244;95;121;34891;0.227;0.305;443.255;9.064;112.492;679
([1, 48], [168, 192]);244;100;121;36721;0.225;0.302;440.128;9.029;117.609;699
([1, 48], [168, 192]);244;105;121;38551;0.229;0.300;440.869;9.024;96.099;529
([1, 48], [168, 192]);244;110;121;40381;0.220;0.296;435.268;8.841;121.936;649
([1, 48], [168, 192]);244;115;121;42211;0.221;0.298;436.256;8.931;113.315;599
([1, 48], [168, 192]);244;120;121;44041;0.217;0.294;434.231;8.857;122.399;629
([1, 48], [168, 192]);244;125;121;45871;0.212;0.290;431.329;8.776;132.754;659
([1, 24], 48, 168);197;70;121;22451;0.264;0.326;464.740;9.415;110.443;879
([1, 24], 48, 168);197;75;121;24046;0.266;0.333;469.773;9.586;109.747;849
([1, 24], 48, 168);197;80;121;25641;0.253;0.316;460.152;9.337;129.544;929
([1, 24], 48, 168);197;85;121;27236;0.252;0.311;451.959;9.183;125.518;849
([1, 24], 48, 168);197;90;121;28831;0.252;0.312;458.390;9.220;112.214;739
([1, 24], 48, 168);197;95;121;30426;0.250;0.312;455.358;9.215;116.324;739
([1, 24], 48, 168);197;100;121;32021;0.249;0.315;456.084;9.241;117.649;739
([1, 24], 48, 168);197;105;121;33616;0.247;0.311;454.962;9.226;113.492;689
([1, 24], 48, 168);197;110;121;35211;0.238;0.303;447.028;9.026;135.113;799
([1, 24], 48, 168);197;115;121;36806;0.233;0.300;446.394;9.045;140.774;809
([1, 24], 48, 168);197;120;121;38401;0.234;0.300;445.747;9.030;129.451;739
([1, 24], 48, 168);197;125;121;39996;0.228;0.296;442.408;8.960;167.729;859
([1, 24], [48, 72]);220;70;121;24061;0.255;0.317;464.065;9.515;92.399;719
([1, 24], [48, 72]);220;75;121;25771;0.244;0.312;455.680;9.272;137.116;979
([1, 24], [48, 72]);220;80;121;27481;0.249;0.313;454.728;9.239;101.999;699
([1, 24], [48, 72]);220;85;121;29191;0.250;0.316;453.871;9.200;89.243;589
([1, 24], [48, 72]);220;90;121;30901;0.244;0.307;451.658;9.192;96.058;619
([1, 24], [48, 72]);220;95;121;32611;0.234;0.299;445.476;9.114;127.123;779
([1, 24], [48, 72]);220;100;121;34321;0.236;0.306;447.070;9.069;111.626;669
([1, 24], [48, 72]);220;105;121;36031;0.222;0.292;439.761;8.979;151.656;889
([1, 24], [48, 72]);220;110;121;37741;0.229;0.300;445.450;9.065;125.466;699
([1, 24], [48, 72]);220;115;121;39451;0.222;0.293;438.457;8.912;147.635;769
([1, 24], [48, 72]);220;120;121;41161;0.215;0.284;436.183;8.909;164.236;879
([1, 24], [48, 72]);220;125;121;42871;0.220;0.283;435.426;8.802;127.743;639
([1, 48],);219;70;121;23991;0.264;0.337;463.151;9.524;92.375;699
([1, 48],);219;75;121;25696;0.257;0.332;458.115;9.414;101.550;719
([1, 48],);219;80;121;27401;0.254;0.332;455.855;9.416;105.183;719
([1, 48],);219;85;121;29106;0.254;0.328;454.837;9.332;92.744;599
([1, 48],);219;90;121;30811;0.236;0.310;444.476;9.111;143.762;909
([1, 48],);219;95;121;32516;0.243;0.310;445.406;9.076;99.612;599
([1, 48],);219;100;121;34221;0.233;0.313;444.782;9.093;128.079;759
([1, 48],);219;105;121;35926;0.233;0.307;438.219;8.979;121.675;699
([1, 48],);219;110;121;37631;0.233;0.311;441.208;9.026;122.595;679
([1, 48],);219;115;121;39336;0.220;0.304;440.159;9.122;187.335;969
([1, 48],);219;120;121;41041;0.224;0.299;437.684;8.986;142.240;749
([1, 48],);219;125;121;42746;0.228;0.303;436.376;8.910;121.615;599
